year,team,win_pct,team_pct_pts_2pt,team_pct_pts_mr,team_pct_pts_3pt,team_pct_pts_fstbrk,team_pct_pts_ft,team_pct_pts_off_tos,team_pct_pts_inthept,team_pct_2ptgfm_asstd,team_pct_3ptgfm_asstd
2016,CLE,69.51,51.14,12.58,34.66,9.86,14.21,15.10,38.56,54.63,78.49
2016,DAL,51.22,56.45,15.04,24.88,11.08,18.66,15.81,41.40,48.78,67.90
2016,DEN,40.24,59.25,14.09,23.27,13.43,17.48,14.82,45.16,49.73,83.91
2016,DET,53.66,53.84,13.34,30.61,10.86,15.54,15.47,40.50,44.98,63.47
2016,GSW,89.02,56.02,12.84,31.58,19.42,12.39,15.96,43.20,64.33,81.16
2016,HOU,50.00,52.08,5.38,32.04,16.89,15.87,17.88,46.71,54.53,66.66
2016,IND,54.88,63.10,18.72,20.72,12.08,16.21,18.26,44.37,48.04,62.05
2016,LAC,64.63,54.70,17.94,28.79,14.07,16.51,16.19,36.75,56.34,73.52
2016,LAL,20.73,59.69,17.87,21.41,12.22,18.93,13.85,41.80,45.37,61.14
2016,MEM,51.22,59.83,15.91,22.74,13.36,17.41,18.44,43.90,52.07,89.71
2016,MIA,58.54,58.27,16.54,24.02,12.10,17.73,15.18,41.75,43.85,80.85
2016,MIL,40.24,65.95,16.39,19.21,13.12,14.84,18.52,49.56,58.98,64.45
2016,MIN,35.37,62.94,21.86,17.79,12.91,19.29,16.03,41.06,57.63,90.80
2016,NOP,36.59,60.60,17.39,23.19,13.21,16.21,15.55,43.21,55.00,67.99
2016,NYK,39.02,56.00,21.62,27.01,9.91,17.00,12.82,34.35,48.64,78.20
2016,OKC,67.07,57.32,13.70,27.61,14.21,15.09,14.79,43.64,54.19,74.94
2016,ORL,42.68,61.16,22.01,24.62,12.49,14.22,16.81,39.19,50.82,82.79
2016,PHI,12.20,53.39,10.93,31.47,13.11,15.13,17.33,42.43,48.11,86.52
2016,PHX,28.05,56.64,12.83,26.24,15.51,17.12,17.32,43.79,44.70,77.11
2016,POR,53.66,57.26,14.94,26.64,10.09,16.11,13.88,42.32,53.80,69.93
2016,SAC,40.24,62.54,12.63,21.43,16.85,16.01,16.69,49.91,59.72,69.60
2016,SAS,81.71,62.36,21.29,22.09,10.19,15.55,15.05,41.08,55.09,75.45
2016,TOR,68.29,57.22,12.28,24.82,9.18,17.96,16.16,44.93,43.80,71.23
2016,UTA,48.78,55.65,12.74,29.36,10.31,14.97,16.40,42.93,40.80,70.47
2016,WAS,50.00,58.35,18.12,26.01,16.99,15.64,16.69,40.21,56.30,71.16
2017,ATL,52.44,56.64,16.51,26.16,13.21,17.22,17.51,40.13,56.77,79.70
2017,BKN,64.63,50.26,8.23,32.06,14.04,17.66,14.81,42.05,42.94,81.75
2017,BOS,24.39,51.15,10.30,33.70,11.62,15.14,15.66,40.85,57.33,89.56
2017,CHA,43.90,54.63,15.16,27.21,9.39,18.14,14.94,39.48,56.79,74.56
2017,CHI,50.00,58.64,15.85,27.06,12.71,14.29,15.66,42.79,50.96,68.90
2017,CLE,62.20,43.73,12.74,42.76,10.01,13.49,13.40,30.98,51.96,75.15
2017,DAL,40.24,54.80,14.94,29.05,9.21,16.14,17.02,39.87,53.41,78.84
2017,DEN,48.78,56.76,10.00,25.98,12.97,17.25,12.79,46.78,50.95,68.61
2017,DET,45.12,64.20,20.96,21.94,11.68,13.87,14.19,43.21,44.62,64.76
2017,GSW,81.71,56.95,14.86,28.50,17.45,14.54,16.18,42.09,67.09,82.80
2017,HOU,67.07,49.93,4.55,34.15,14.49,15.90,16.59,45.39,52.58,64.95
2017,IND,51.22,60.92,17.76,24.38,9.80,14.70,15.73,43.16,49.21,67.68
2017,LAC,62.20,54.17,16.33,29.08,12.89,16.78,13.81,37.83,47.81,70.40
2017,LAL,31.71,62.32,12.59,22.76,15.17,14.91,17.48,49.74,52.28,71.41
2017,MEM,52.44,49.09,11.57,32.60,10.51,18.29,16.06,37.51,48.32,87.07
2017,MIA,50.00,52.47,12.12,34.95,10.43,12.58,15.48,40.34,45.69,81.64
2017,MIL,51.22,55.39,11.25,29.51,11.41,15.11,16.27,44.15,56.09,77.20
2017,MIN,37.80,56.02,17.13,27.53,13.74,16.44,16.60,38.90,53.60,89.00
